time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1753429919.29430485,0.00190315,5834,0.00000788,0.00000000,0,0.00000000,1002,1005,3,0.00014874
1753429919.39397597,0.00190167,5827,0.00000481,0.00000000,0,0.00000000,1005,1006,1,0.00014451
1753429919.49439621,0.00210984,5806,0.00000560,0.00000000,0,0.00000000,1006,1007,1,0.00028356
1753429919.59385896,0.00177720,5847,0.00000037,0.00000000,0,0.00000000,1007,1007,0,0.00024811
1753429919.69392943,0.00207448,5828,0.00000041,0.00000000,0,0.00000000,1007,1007,0,0.00024361
1753429919.79391384,0.00208507,5880,0.00000511,0.00000000,0,0.00000000,1007,1008,2,0.00014539
1753429919.89428401,0.00194920,5829,0.00000033,0.00000000,0,0.00000000,1008,1008,0,0.00023054
1753429919.99402642,0.00266420,5834,0.00000986,0.00000000,0,0.00000000,1008,1010,2,0.00013889
1753429920.09394097,0.00252265,5835,0.00002850,0.00000000,0,0.00000000,1010,1000,4,0.00013696
1753429920.19386506,0.00259463,5834,0.00000212,0.00000000,0,0.00000000,1000,1001,1,0.00017355
1753429920.29390526,0.00257049,5803,0.00000037,0.00000000,0,0.00000000,1001,1001,0,0.00014733
1753429920.39389586,0.00263535,5888,0.00000040,0.00000000,0,0.00000000,1001,1001,0,0.00013404
1753429920.49428177,0.00246119,5810,0.00001417,0.00000000,0,0.00000000,1001,997,3,0.00026396
1753429920.59400702,0.00264401,5852,0.00000036,0.00000000,0,0.00000000,997,997,0,0.00026002
1753429920.69395161,0.00256118,5876,0.00000817,0.00000000,0,0.00000000,997,999,2,0.00025036
1753429920.79436302,0.00254246,5806,0.00001570,0.00000000,0,0.00000000,999,996,2,0.00021341
1753429920.89396381,0.00206104,5817,0.00000032,0.00000000,0,0.00000000,996,996,0,0.00024276
1753429920.99387980,0.00222344,5820,0.00000039,0.00000000,0,0.00000000,996,996,0,0.00024781
1753429921.09387422,0.00265802,5810,0.00001333,0.00000000,0,0.00000000,996,999,4,0.00024109
1753429921.19378567,0.00234498,5867,0.00001328,0.00000000,0,0.00000000,999,999,1,0.00022744
1753429921.29389381,0.00254661,5816,0.00000581,0.00000000,0,0.00000000,999,1000,1,0.00013427
1753429921.39385915,0.00251441,5851,0.00000042,0.00000000,0,0.00000000,1000,1000,0,0.00024751
1753429921.49401546,0.00236856,5853,0.00000547,0.00000000,0,0.00000000,1000,1001,1,0.00014230
1753429921.59386420,0.00250424,5848,0.00000032,0.00000000,0,0.00000000,1001,1001,0,0.00014012
1753429921.69428110,0.00195532,5826,0.00006684,0.00000000,0,0.00000000,1001,959,2,0.00021578
1753429921.79397750,0.00191590,5858,0.00000353,0.00000000,0,0.00000000,959,960,1,0.00022772
1753429921.89390612,0.00253748,5846,0.00000046,0.00000000,0,0.00000000,960,960,0,0.00016871
1753429921.99423480,0.00251792,5818,0.00000742,0.00000000,0,0.00000000,960,961,3,0.00025860
1753429922.09387875,0.00262198,5844,0.00000873,0.00000000,0,0.00000000,961,963,3,0.00014998
1753429922.19385457,0.00231742,5844,0.00000749,0.00000000,0,0.00000000,963,963,1,0.00013599
1753429922.29425955,0.00184085,5819,0.00000031,0.00000000,0,0.00000000,963,963,0,0.00024155
1753429922.39399314,0.00208656,5844,0.00000413,0.00000000,0,0.00000000,963,964,1,0.00025633
1753429922.49392748,0.00188179,5819,0.00000328,0.00000000,0,0.00000000,964,965,1,0.00024902
1753429922.59373307,0.00196107,5870,0.00000210,0.00000000,0,0.00000000,965,965,1,0.00024717
1753429922.69422102,0.00185980,5838,0.00000471,0.00000000,0,0.00000000,965,966,2,0.00013711
1753429922.79384685,0.00190258,5823,0.00000855,0.00000000,0,0.00000000,966,968,2,0.00013812
1753429922.89422584,0.00205682,5824,0.00000055,0.00000000,0,0.00000000,968,968,0,0.00013591
1753429922.99389672,0.00202567,5816,0.00000228,0.00000000,0,0.00000000,968,969,1,0.00013827
1753429923.09391856,0.00201392,5846,0.00000483,0.00000000,0,0.00000000,969,970,1,0.00013926
1753429923.19423008,0.00259143,5793,0.00000742,0.00000000,0,0.00000000,970,971,1,0.00013503
1753429923.29391408,0.00241908,5834,0.00000559,0.00000000,0,0.00000000,971,972,1,0.00013520
1753429923.39394665,0.00226495,5846,0.00000050,0.00000000,0,0.00000000,972,972,0,0.00015218
1753429923.49424648,0.00192128,5818,0.00000701,0.00000000,0,0.00000000,972,974,3,0.00013796
1753429923.59395957,0.00202905,5837,0.00000233,0.00000000,0,0.00000000,974,974,1,0.00023846
1753429923.69389105,0.00193681,5841,0.00000528,0.00000000,0,0.00000000,974,975,1,0.00026452
1753429923.79405665,0.00203183,5819,0.00001026,0.00000000,0,0.00000000,975,975,2,0.00024276
1753429923.89391255,0.00253634,5848,0.00001661,0.00000000,0,0.00000000,975,972,1,0.00017445
1753429923.99432611,0.00256709,5826,0.00000395,0.00000000,0,0.00000000,972,972,2,0.00017454
1753429924.09422827,0.00254694,5816,0.00000040,0.00000000,0,0.00000000,972,972,0,0.00014119
1753429924.19395113,0.00264049,5873,0.00001107,0.00000000,0,0.00000000,972,974,2,0.00017673
1753429924.29427242,0.00263175,5841,0.00000044,0.00000000,0,0.00000000,974,974,0,0.00027318
1753429924.39400101,0.00206362,5837,0.00000358,0.00000000,0,0.00000000,974,975,1,0.00021402
1753429924.49383688,0.00246763,5841,0.00000694,0.00000000,0,0.00000000,975,977,2,0.00024571
1753429924.59425855,0.00261496,5840,0.00000729,0.00000000,0,0.00000000,977,979,2,0.00024505
1753429924.69428873,0.00177326,5829,0.00000514,0.00000000,0,0.00000000,979,980,1,0.00024317
1753429924.79394937,0.00215665,5823,0.00000161,0.00000000,0,0.00000000,980,980,1,0.00013848
1753429924.89388561,0.00267271,5836,0.00000474,0.00000000,0,0.00000000,980,981,1,0.00024516
1753429924.99399281,0.00256706,5844,0.00000679,0.00000000,0,0.00000000,981,982,2,0.00023865
1753429925.09383512,0.00263452,5851,0.00000582,0.00000000,0,0.00000000,982,983,1,0.00014028
1753429925.19431233,0.00250798,5812,0.00000282,0.00000000,0,0.00000000,983,983,1,0.00013787
1753429925.29430842,0.00262545,5823,0.00000206,0.00000000,0,0.00000000,983,983,1,0.00027643
1753429925.39393353,0.00246956,5848,0.00000041,0.00000000,0,0.00000000,983,983,0,0.00025351
1753429925.49427748,0.00274349,5859,0.00000042,0.00000000,0,0.00000000,983,983,0,0.00024845
1753429925.59419537,0.00261253,5836,0.00000040,0.00000000,0,0.00000000,983,983,0,0.00024007
1753429925.69420385,0.00211936,5869,0.00001047,0.00000000,0,0.00000000,983,984,2,0.00022359
1753429925.79427457,0.00203720,5860,0.00000270,0.00000000,0,0.00000000,984,984,2,0.00024351
1753429925.89424992,0.00209839,5863,0.00000657,0.00000000,0,0.00000000,984,985,1,0.00024604
1753429925.99392581,0.00249899,5833,0.00000048,0.00000000,0,0.00000000,985,985,0,0.00024819
1753429926.09392905,0.00259570,5877,0.00000047,0.00000000,0,0.00000000,985,985,0,0.00013695
1753429926.19419575,0.00251021,5862,0.00000286,0.00000000,0,0.00000000,985,985,1,0.00015629
1753429926.29432464,0.00256317,5848,0.00000044,0.00000000,0,0.00000000,985,985,0,0.00013710
1753429926.39420199,0.00256276,5855,0.00000277,0.00000000,0,0.00000000,985,985,1,0.00018178
1753429926.49396801,0.00255569,5821,0.00000048,0.00000000,0,0.00000000,985,985,0,0.00024467
1753429926.59383416,0.00199671,5878,0.00000373,0.00000000,0,0.00000000,985,986,1,0.00024838
1753429926.69426918,0.00208979,5835,0.00000032,0.00000000,0,0.00000000,986,986,0,0.00016988
1753429926.79397821,0.00222235,5811,0.00001687,0.00000000,0,0.00000000,986,971,1,0.00024119
1753429926.89392924,0.00200446,5835,0.00000032,0.00000000,0,0.00000000,971,971,0,0.00025613
1753429926.99385476,0.00244647,5849,0.00001109,0.00000000,0,0.00000000,971,973,2,0.00013884
1753429927.09417677,0.00192802,5824,0.00000040,0.00000000,0,0.00000000,973,973,0,0.00014113
1753429927.19447112,0.00196186,5784,0.00000204,0.00000000,0,0.00000000,973,974,1,0.00024955
1753429927.29382992,0.00198318,5868,0.00000412,0.00000000,0,0.00000000,974,975,1,0.00024446
1753429927.39411831,0.00254529,5828,0.00000042,0.00000000,0,0.00000000,975,975,0,0.00025224
1753429927.49389052,0.00253378,5876,0.00000385,0.00000000,0,0.00000000,975,975,2,0.00015293
1753429927.59429622,0.00241900,5822,0.00000042,0.00000000,0,0.00000000,975,975,0,0.00014585
1753429927.69419551,0.00232068,5813,0.00000044,0.00000000,0,0.00000000,975,975,0,0.00013786
1753429927.79386878,0.00270670,5856,0.00000051,0.00000000,0,0.00000000,975,975,0,0.00024199
1753429927.89416885,0.00207748,5832,0.00000621,0.00000000,0,0.00000000,975,977,2,0.00021865
1753429927.99401927,0.00202149,5837,0.00000238,0.00000000,0,0.00000000,977,977,2,0.00023964
1753429928.09434152,0.00259974,5808,0.00001550,0.00000000,0,0.00000000,977,977,2,0.00015592
1753429928.19419193,0.00260036,5842,0.00000035,0.00000000,0,0.00000000,977,977,0,0.00026956
1753429928.29415560,0.00187901,5824,0.00000619,0.00000000,0,0.00000000,977,978,2,0.00018434
1753429928.39385676,0.00193225,5868,0.00000449,0.00000000,0,0.00000000,978,979,1,0.00018670
1753429928.49414444,0.00247438,5835,0.00002075,0.00000000,0,0.00000000,979,975,3,0.00026508
1753429928.59415054,0.00220867,5824,0.00000622,0.00000000,0,0.00000000,975,977,2,0.00026479
1753429928.69387484,0.00204532,5852,0.00000258,0.00000000,0,0.00000000,977,977,1,0.00018164
1753429928.79416728,0.00271163,5816,0.00000047,0.00000000,0,0.00000000,977,977,0,0.00015284
1753429928.89411736,0.00186762,5847,0.00000030,0.00000000,0,0.00000000,977,977,0,0.00027866
1753429928.99425602,0.00197378,5826,0.00000450,0.00000000,0,0.00000000,977,978,2,0.00025529
1753429929.09416771,0.00194705,5833,0.00000459,0.00000000,0,0.00000000,978,979,2,0.00025317
1753429929.19414020,0.00264284,5831,0.00000036,0.00000000,0,0.00000000,979,979,0,0.00024818
1753429929.29436517,0.00196469,5853,0.00000033,0.00000000,0,0.00000000,979,979,0,0.00014228
1753429929.39416194,0.00201142,5831,0.00000529,0.00000000,0,0.00000000,979,980,2,0.00014023
1753429929.49419403,0.00198294,5851,0.00000034,0.00000000,0,0.00000000,980,980,0,0.00014272
1753429929.59390736,0.00242286,5863,0.00000715,0.00000000,0,0.00000000,980,982,2,0.00025072
1753429929.69425988,0.00197927,5815,0.00000547,0.00000000,0,0.00000000,982,984,3,0.00013647
1753429929.79409862,0.00253274,5863,0.00001244,0.00000000,0,0.00000000,984,978,2,0.00017370
1753429929.89426351,0.00258431,5841,0.00000584,0.00000000,0,0.00000000,978,979,1,0.00018119
1753429929.99412465,0.00250853,5861,0.00001011,0.00000000,0,0.00000000,979,982,3,0.00025694
1753429930.09512353,0.00246340,5801,0.00001897,0.00000000,0,0.00000000,982,977,4,0.00013894
1753429930.19397736,0.00259058,5861,0.00000035,0.00000000,0,0.00000000,977,977,0,0.00025017
1753429930.29426384,0.00265425,5860,0.00002725,0.00000000,0,0.00000000,977,980,3,0.00024574
1753429930.39511895,0.00263041,5825,0.00000053,0.00000000,0,0.00000000,980,980,0,0.00025483
1753429930.49438787,0.00241346,5802,0.00001052,0.00000000,0,0.00000000,980,977,1,0.00024607
1753429930.59408736,0.00219273,5832,0.00000479,0.00000000,0,0.00000000,977,978,1,0.00024698
1753429930.69409227,0.00234419,5825,0.00001249,0.00000000,0,0.00000000,978,980,3,0.00024645
1753429930.79384494,0.00199139,5829,0.00000260,0.00000000,0,0.00000000,980,980,2,0.00024048
1753429930.89423370,0.00214096,5850,0.00000035,0.00000000,0,0.00000000,980,980,0,0.00024162
1753429930.99511313,0.00235725,5826,0.00000033,0.00000000,0,0.00000000,980,980,0,0.00013820
1753429931.09432650,0.00259741,5817,0.00000951,0.00000000,0,0.00000000,980,983,3,0.00024343
1753429931.19412065,0.00209597,5833,0.00000449,0.00000000,0,0.00000000,983,984,1,0.00014140
1753429931.29387903,0.00199376,5851,0.00000061,0.00000000,0,0.00000000,984,984,0,0.00027215
1753429931.39382863,0.00215577,5857,0.00000184,0.00000000,0,0.00000000,984,984,1,0.00023885
1753429931.49418855,0.00266697,5850,0.00000680,0.00000000,0,0.00000000,984,985,2,0.00024509
1753429931.59512663,0.00257766,5799,0.00002317,0.00000000,0,0.00000000,985,968,1,0.00018433
1753429931.69383240,0.00220420,5865,0.00000228,0.00000000,0,0.00000000,968,968,1,0.00021922
1753429931.79407024,0.00200502,5797,0.00000573,0.00000000,0,0.00000000,968,969,1,0.00015181
1753429931.89389491,0.00203621,5877,0.00001235,0.00000000,0,0.00000000,969,963,1,0.00020105
1753429931.99430156,0.00200231,5835,0.00000033,0.00000000,0,0.00000000,963,963,0,0.00025409
1753429932.09421206,0.00187276,5831,0.00001294,0.00000000,0,0.00000000,963,962,4,0.00024586
1753429932.19394016,0.00257996,5863,0.00000728,0.00000000,0,0.00000000,962,963,2,0.00013913
